0,1,2,3
(1521,220,270,-2)
(1515,220,270,-2)
(1509,220,270,-2)
(1503,220,270,-2)
(1497,220,270,-2)
(1491,220,270,-2)
(1485,220,270,-2)
(1479,220,270,-2)
(1473,220,270,-2)
(1467,220,270,-2)
(1461,220,270,-2)
(1455,220,270,-2)
(1449,220,270,-2)
(1443,220,270,-2)
(1437,220,270,-2)
(1431,220,270,-2)
(1425,220,270,-2)
(1419,220,270,-2)
(1413,220,270,-2)
(1407,220,270,-2)
(1401,220,270,-2)
(1395,220,270,-2)
(1389,220,270,-2)
(1383,220,270,-2)
(1377,220,270,-2)
(1371,220,270,-2)
(1365,220,270,-2)
(1359,220,270,-2)
(1353,220,270,-2)
(1347,220,270,-2)
(1341,220,270,-2)
(1335,220,270,-2)
(1329,220,270,-2)
(1323,220,270,-2)
(1317,220,270,-2)
(1311,220,270,-2)
(1305,220,270,-2)
(1299,220,270,-2)
(1293,219,268,-2)
(1287,219,268,-2)
(1281,219,268,-2)
(1275,219,268,-2)
(1268,219,268,-2)
(1262,219,268,-2)
(1256,218,269,-2)
(1250,218,269,-2)
(1244,218,269,-2)
(1238,218,269,-2)
(1232,218,269,-2)
(1229,218,269,-2)
(1223,218,269,-2)
(1217,218,269,-2)
(1210,218,269,-2)
(1204,219,272,-2)
(1198,219,272,-2)
(1192,219,272,-2)
(1186,219,272,-2)
(1180,219,272,-2)
(1174,220,272,-2)
(1167,220,272,-2)
(1161,220,272,-2)
(1155,220,272,-2)
(1149,220,272,-2)
(1148,220,272,-2)
(1146,220,272,-2)
(1144,220,272,-2)
(1142,220,272,-2)
(1140,220,272,-2)
(1138,220,272,-2)
(1136,220,272,-2)
(1134,220,272,-2)
(1132,220,272,-2)
(1130,220,272,-2)
(1128,220,272,-2)
(1126,220,272,-2)
(1124,220,272,-2)
(1122,220,272,-2)
(1120,220,272,-2)
(1118,220,272,-2)
(1116,220,272,-2)
(1114,220,272,-2)
(1112,220,272,-2)
(1110,220,272,-2)
(1108,220,272,-2)
(1106,220,272,-2)
(1104,220,272,-2)
(1102,220,272,-2)
(1100,220,272,-2)
