0,1,3
(1364,-75,-35,-2)
(1361,-70,-35,-2)
(1358,-65,-35,-2)
(1355,-60,-35,-2)
(1352,-55,-35,-2)
(1349,-50,-35,-2)
(1346,-45,-35,-2)
(1343,-40,-35,-2)
(1340,-35,-35,-2)
(1337,-30,-35,-2)
(1334,-25,-35,-2)
(1331,-20,-35,-2)
(1328,-15,-35,-2)
(1325,-10,-35,-2)
(1322,-5,-35,-2)
(1319,0,-35,-2)
(1316,5,-35,-2)
(1313,10,-35,-2)
(1310,15,-35,-2)
(1307,20,-35,-2)
(1304,25,-35,-2)
(1301,30,-35,-2)
(1298,35,-35,-2)
(1295,40,-35,-2)
(1292,45,-35,-2)
(1289,50,-35,-2)
(1286,55,-35,-2)
(1283,60,-35,-2)
(1280,65,-35,-2)
(1277,70,-35,-2)
(1274,75,-35,-2)
(1271,80,-35,-2)
(1268,85,-35,-2)
(1265,90,-35,-2)
(1262,95,-35,-2)
(1258,100,-35,-2)
(1255,105,-36,-2)
(1251,110,-36,-2)
(1248,115,-36,-2)
(1244,120,-36,-2)
(1240,125,-36,-2)
(1237,130,-37,-2)
(1233,135,-37,-2)
(1229,140,-37,-2)
(1225,145,-37,-2)
(1222,150,-37,-2)
(1218,155,-38,-2)
(1214,160,-38,-2)
(1212,162,-38,-2)
(1208,167,-38,-2)
(1205,172,-37,-2)
(1201,177,-37,-2)
(1197,182,-37,-2)
(1193,187,-38,-2)
(1190,191,-38,-2)
(1186,196,-38,-2)
(1182,201,-39,-2)
(1178,206,-40,-2)
(1174,210,-40,-2)
(1170,215,-42,-2)
(1166,220,-43,-2)
(1162,224,-43,-2)
(1160,226,-46,-2)
(1156,230,-47,-2)
(1151,234,-48,-2)
(1147,238,-49,-2)
(1142,242,-49,-2)
(1137,246,-50,-2)
(1133,250,-51,-2)
(1128,254,-52,-2)
(1123,257,-52,-2)
(1119,261,-53,-2)
(1114,265,-54,-2)
(1109,268,-55,-2)
(1104,272,-56,-2)
(1099,275,-56,-2)
(1098,276,-58,-2)
(1096,277,-59,-2)
(1095,278,-59,-2)
(1093,279,-60,-2)
(1091,280,-60,-2)
(1089,281,-61,-2)
(1088,282,-61,-2)
(1086,283,-61,-2)
(1084,284,-62,-2)
(1082,285,-62,-2)
(1081,285,-62,-2)
(1079,286,-63,-2)
(1077,287,-63,-2)
(1075,288,-63,-2)
(1073,289,-63,-2)
(1072,290,-63,-2)
(1070,291,-64,-2)
(1068,292,-64,-2)
(1066,293,-64,-2)
(1064,294,-64,-2)
(1063,294,-64,-2)
(1061,295,-64,-2)
(1059,296,-64,-2)
(1057,297,-65,-2)
(1055,298,-65,-2)
(1054,299,-65,-2)
(1052,300,-65,-2)
(1050,301,-65,-2)
(1048,301,-65,-2)
(1046,302,-65,-2)
(1044,303,-65,-2)
(1043,304,-65,-2)
(1041,305,-65,-2)
(1039,306,-65,-2)
(1037,306,-65,-2)
(1035,307,-65,-2)
(1033,308,-66,-2)
(1032,309,-66,-2)
(1030,310,-66,-2)
(1028,311,-66,-2)
(1027,311,-66,-2)
(1025,312,-66,-2)
(1023,313,-65,-2)
(1022,314,-65,-2)
(1020,314,-65,-2)
(1018,315,-65,-2)
(1016,316,-65,-2)
(1014,317,-66,-2)
(1012,318,-66,-2)
(1011,319,-66,-2)
(1009,319,-66,-2)
(1007,320,-66,-2)
