0,1,2,3
(1482,653,222,-2)
(1479,649,222,-2)
(1476,645,222,-2)
(1473,641,222,-2)
(1470,637,222,-2)
(1467,633,222,-2)
(1464,629,222,-2)
(1461,625,222,-2)
(1458,621,222,-2)
(1455,617,222,-2)
(1452,613,222,-2)
(1449,609,222,-2)
(1446,605,222,-2)
(1443,601,222,-2)
(1440,597,222,-2)
(1437,593,222,-2)
(1434,589,222,-2)
(1431,585,222,-2)
(1428,581,222,-2)
(1425,577,222,-2)
(1422,573,222,-2)
(1419,569,222,-2)
(1416,565,222,-2)
(1413,561,222,-2)
(1410,557,222,-2)
(1407,553,222,-2)
(1404,549,222,-2)
(1401,545,222,-2)
(1398,541,222,-2)
(1395,537,222,-2)
(1392,533,222,-2)
(1389,529,222,-2)
(1386,525,222,-2)
(1383,521,222,-2)
(1380,517,222,-2)
(1376,513,222,-2)
(1372,508,222,-2)
(1368,504,223,-2)
(1364,499,223,-2)
(1360,495,223,-2)
(1355,490,223,-2)
(1351,486,223,-2)
(1347,481,223,-2)
(1343,477,223,-2)
(1339,473,223,-2)
(1335,468,224,-2)
(1331,464,224,-2)
(1326,459,224,-2)
(1322,455,225,-2)
(1320,453,225,-2)
(1316,449,225,-2)
(1311,444,225,-2)
(1307,440,226,-2)
(1303,436,226,-2)
(1298,432,226,-2)
(1294,428,226,-2)
(1290,423,226,-2)
(1285,419,226,-2)
(1281,415,226,-2)
(1277,411,226,-2)
(1272,407,226,-2)
(1268,402,226,-2)
(1263,398,227,-2)
(1259,394,227,-2)
(1257,392,228,-2)
(1252,388,228,-2)
(1248,384,228,-2)
(1243,380,228,-2)
(1239,376,228,-2)
(1234,372,228,-2)
(1230,368,228,-2)
(1225,364,228,-2)
(1221,360,229,-2)
(1216,356,229,-2)
(1211,352,229,-2)
(1207,348,230,-2)
(1202,344,230,-2)
(1197,340,231,-2)
(1195,338,232,-2)
(1193,337,232,-2)
(1192,336,232,-2)
(1190,334,232,-2)
(1189,333,232,-2)
(1187,332,232,-2)
(1186,331,232,-2)
(1184,329,232,-2)
(1182,328,232,-2)
(1181,327,232,-2)
(1179,326,232,-2)
(1178,324,232,-2)
(1176,323,232,-2)
(1175,322,232,-2)
(1173,321,232,-2)
(1171,319,232,-2)
(1170,318,232,-2)
(1168,317,232,-2)
(1167,316,233,-2)
(1165,315,233,-2)
(1163,313,233,-2)
(1162,312,233,-2)
(1160,311,233,-2)
(1159,310,233,-2)
(1157,309,233,-2)
(1155,307,233,-2)
(1154,306,233,-2)
(1152,305,234,-2)
(1151,304,234,-2)
(1149,303,234,-2)
(1147,301,234,-2)
(1146,300,234,-2)
(1144,299,234,-2)
(1143,298,235,-2)
(1141,297,235,-2)
(1139,296,235,-2)
(1138,295,235,-2)
(1136,293,235,-2)
(1134,292,236,-2)
(1133,291,236,-2)
(1131,290,236,-2)
(1130,289,236,-2)
(1128,288,236,-2)
(1127,287,236,-2)
(1125,286,236,-2)
(1123,285,236,-2)
(1122,284,237,-2)
(1120,283,237,-2)
(1118,282,237,-2)
(1117,281,237,-2)
(1115,279,237,-2)
(1113,278,237,-2)
(1112,277,237,-2)
(1110,276,237,-2)
(1108,275,237,-2)
(1107,274,237,-2)
(1105,273,237,-2)
(1103,272,237,-2)
(1102,271,237,-2)
(1100,270,237,-2)
(1098,268,237,-2)
(1096,267,237,-2)
(1095,266,238,-2)
(1093,265,238,-2)
(1091,264,238,-2)
(1090,263,238,-2)
(1088,262,238,-2)
(1086,261,238,-2)
(1085,260,238,-2)
(1083,259,238,-2)
(1081,258,238,-2)
(1079,257,238,-2)
(1078,256,239,-2)
(1076,255,239,-2)
(1074,254,239,-2)
(1073,253,239,-2)
(1071,252,239,-2)
(1069,250,239,-2)
(1067,249,240,-2)
(1066,248,240,-2)
(1064,247,240,-2)
(1062,246,240,-2)
(1060,245,241,-2)
(1059,244,241,-2)
(1057,243,241,-2)
(1056,243,241,-2)
(1054,242,242,-2)
(1052,241,242,-2)
(1051,240,242,-2)
(1049,239,242,-2)
(1047,238,243,-2)
(1045,237,243,-2)
(1044,236,243,-2)
(1042,236,243,-2)
(1040,235,243,-2)
(1038,234,243,-2)
(1036,233,244,-2)
(1035,232,244,-2)
(1033,231,244,-2)
(1031,230,244,-2)
(1029,229,244,-2)
(1027,228,244,-2)
(1025,228,244,-2)
(1024,227,245,-2)
(1022,226,245,-2)
(1020,225,245,-2)
(1018,224,245,-2)
(1016,223,246,-2)
(1014,222,246,-2)
(1013,222,246,-2)
(1011,221,246,-2)
(1009,220,246,-2)
(1007,219,246,-2)
(1005,218,247,-2)
(1003,218,247,-2)
(1002,217,247,-2)
(1000,216,247,-2)
(998,215,248,-2)
(996,214,248,-2)
(994,214,248,-2)
