0,1,2,3,4
(567,315,514,-2)
(568,312,514,-2)
(570,310,514,-2)
(571,307,514,-2)
(572,304,515,-2)
(574,302,515,-2)
(575,299,515,-2)
(577,296,515,-2)
(578,294,516,-2)
(579,291,516,-2)
(581,288,516,-2)
(582,286,516,-2)
(583,283,516,-2)
(585,280,516,-2)
(586,277,516,-2)
(587,274,517,-2)
(588,271,517,-2)
(590,268,517,-2)
(591,265,517,-2)
(592,262,517,-2)
(594,259,517,-2)
(595,256,517,-2)
(596,253,517,-2)
(597,250,517,-2)
(599,247,517,-2)
(600,245,517,-2)
(601,242,517,-2)
(602,239,517,-2)
(604,236,517,-2)
(605,233,517,-2)
(606,230,517,-2)
(608,227,517,-2)
(609,224,517,-2)
(610,221,517,-2)
(612,218,517,-2)
(613,215,517,-2)
(614,212,517,-2)
(615,209,517,-2)
(617,206,517,-2)
(618,204,517,-2)
(619,201,517,-2)
(620,198,517,-2)
(622,195,517,-2)
(623,192,517,-2)
(624,189,517,-2)
(626,186,517,-2)
(627,183,517,-2)
(628,180,517,-2)
(629,177,517,-2)
(631,174,517,-2)
(632,171,517,-2)
(633,168,517,-2)
(635,165,517,-2)
(636,163,517,-2)
(637,160,517,-2)
(638,157,517,-2)
(640,154,517,-2)
(641,151,517,-2)
(642,148,517,-2)
(643,145,517,-2)
(645,142,517,-2)
(646,139,517,-2)
(647,136,517,-2)
(649,133,517,-2)
(650,130,517,-2)
(651,127,517,-2)
(652,124,517,-2)
(654,122,517,-2)
(655,119,517,-2)
(656,116,517,-2)
(657,113,517,-2)
(659,110,517,-2)
(660,107,517,-2)
(661,104,517,-2)
(663,101,517,-2)
(664,98,517,-2)
(665,95,517,-2)
(666,92,517,-2)
(668,89,517,-2)
(669,86,517,-2)
(670,83,517,-2)
(672,81,517,-2)
(673,78,517,-2)
(674,75,517,-2)
(675,72,517,-2)
(677,69,517,-2)
(678,66,517,-2)
(679,63,517,-2)
(681,60,517,-2)
(682,57,517,-2)
