0,1,3
(1328,-109,319,-2)
(1325,-105,319,-2)
(1322,-101,319,-2)
(1319,-97,319,-2)
(1316,-93,319,-2)
(1313,-89,319,-2)
(1310,-85,319,-2)
(1307,-81,319,-2)
(1304,-77,319,-2)
(1301,-73,319,-2)
(1298,-69,319,-2)
(1295,-65,319,-2)
(1292,-61,319,-2)
(1289,-57,319,-2)
(1286,-53,319,-2)
(1283,-49,319,-2)
(1280,-45,319,-2)
(1277,-41,319,-2)
(1274,-37,319,-2)
(1271,-33,319,-2)
(1268,-29,319,-2)
(1265,-25,319,-2)
(1262,-21,319,-2)
(1259,-17,319,-2)
(1256,-13,319,-2)
(1253,-9,319,-2)
(1250,-5,319,-2)
(1247,-1,319,-2)
(1244,3,319,-2)
(1241,7,319,-2)
(1238,11,319,-2)
(1235,15,319,-2)
(1232,19,319,-2)
(1229,23,319,-2)
(1226,27,319,-2)
(1222,31,319,-2)
(1218,36,318,-2)
(1214,40,318,-2)
(1210,45,318,-2)
(1206,49,318,-2)
(1202,54,318,-2)
(1198,58,317,-2)
(1194,63,317,-2)
(1190,66,316,-2)
(1186,70,316,-2)
(1181,75,315,-2)
(1177,79,314,-2)
(1173,83,313,-2)
(1168,87,311,-2)
(1166,89,310,-2)
(1164,90,310,-2)
(1163,92,309,-2)
(1161,93,309,-2)
(1160,94,308,-2)
(1158,95,308,-2)
(1157,97,308,-2)
(1155,98,307,-2)
(1153,99,307,-2)
(1152,100,307,-2)
(1150,101,306,-2)
(1148,103,306,-2)
(1147,104,306,-2)
(1145,105,306,-2)
(1144,106,305,-2)
(1142,107,305,-2)
(1140,108,305,-2)
(1139,110,305,-2)
(1137,111,305,-2)
(1135,112,304,-2)
(1134,113,304,-2)
(1132,114,304,-2)
(1130,115,304,-2)
(1129,116,304,-2)
(1127,118,304,-2)
(1125,119,303,-2)
(1124,120,303,-2)
(1122,121,303,-2)
(1120,122,303,-2)
(1118,123,303,-2)
(1117,124,303,-2)
(1115,125,303,-2)
(1113,126,303,-2)
(1112,127,302,-2)
(1110,129,302,-2)
(1108,130,302,-2)
