0,1,3
(1325,558,215,-2)
(1323,556,215,-2)
(1321,554,215,-2)
(1319,552,215,-2)
(1317,550,215,-2)
(1315,548,215,-2)
(1313,546,215,-2)
(1311,544,215,-2)
(1309,542,215,-2)
(1307,540,215,-2)
(1305,538,215,-2)
(1303,536,215,-2)
(1301,534,215,-2)
(1299,532,215,-2)
(1297,530,215,-2)
(1295,528,215,-2)
(1293,526,215,-2)
(1291,524,215,-2)
(1289,522,215,-2)
(1287,520,215,-2)
(1285,518,215,-2)
(1283,516,215,-2)
(1281,514,215,-2)
(1279,512,215,-2)
(1277,510,215,-2)
(1275,508,215,-2)
(1273,506,215,-2)
(1271,504,215,-2)
(1269,502,215,-2)
(1267,500,215,-2)
(1265,498,215,-2)
(1263,496,215,-2)
(1261,494,215,-2)
(1259,492,215,-2)
(1257,490,215,-2)
(1255,488,215,-2)
(1253,486,215,-2)
(1251,484,215,-2)
(1249,482,215,-2)
(1247,480,215,-2)
(1245,478,215,-2)
(1243,476,215,-2)
(1241,474,215,-2)
(1239,472,215,-2)
(1237,470,215,-2)
(1235,468,215,-2)
(1233,466,215,-2)
(1231,464,215,-2)
(1229,462,215,-2)
(1227,460,215,-2)
(1225,458,215,-2)
(1223,456,215,-2)
(1221,453,215,-2)
(1218,449,215,-2)
(1216,446,216,-2)
(1214,443,216,-2)
(1211,440,216,-2)
(1209,436,216,-2)
(1207,433,216,-2)
(1204,430,216,-2)
(1202,426,216,-2)
(1199,423,216,-2)
(1197,420,217,-2)
(1195,417,217,-2)
(1192,413,217,-2)
(1190,410,217,-2)
(1187,407,217,-2)
(1185,404,217,-2)
(1182,401,217,-2)
(1180,397,218,-2)
(1177,394,218,-2)
(1175,391,218,-2)
(1174,389,218,-2)
(1171,386,218,-2)
(1169,383,218,-2)
(1166,380,217,-2)
(1164,377,217,-2)
(1161,373,217,-2)
(1159,370,217,-2)
(1157,367,218,-2)
(1154,364,218,-2)
(1152,361,218,-2)
(1149,358,218,-2)
(1147,354,218,-2)
(1144,351,219,-2)
(1142,348,219,-2)
(1139,345,220,-2)
(1137,342,220,-2)
(1134,339,221,-2)
(1131,336,222,-2)
(1129,333,223,-2)
