0,1,3
(-179,142,57,-2)
(-177,143,57,-2)
(-175,144,57,-2)
(-173,145,57,-2)
(-171,146,57,-2)
(-169,147,57,-2)
(-167,148,57,-2)
(-165,149,57,-2)
(-163,150,57,-2)
(-161,151,57,-2)
(-159,152,57,-2)
(-157,153,57,-2)
(-155,154,57,-2)
(-153,155,57,-2)
(-151,156,57,-2)
(-149,157,57,-2)
(-147,158,57,-2)
(-145,159,57,-2)
(-143,160,57,-2)
(-141,161,57,-2)
(-139,162,57,-2)
(-137,163,57,-2)
(-135,164,57,-2)
(-133,165,57,-2)
(-131,166,57,-2)
(-129,167,57,-2)
(-127,168,57,-2)
(-125,169,57,-2)
(-123,170,57,-2)
(-121,171,57,-2)
(-119,172,57,-2)
(-117,173,57,-2)
(-115,174,57,-2)
(-113,175,57,-2)
(-111,176,57,-2)
(-109,177,57,-2)
(-107,178,57,-2)
(-105,179,57,-2)
(-103,180,57,-2)
(-101,181,57,-2)
(-99,182,57,-2)
(-97,183,57,-2)
(-95,184,57,-2)
(-93,185,57,-2)
(-91,186,57,-2)
(-89,187,57,-2)
(-87,188,57,-2)
(-85,189,57,-2)
(-83,190,57,-2)
(-81,191,57,-2)
(-79,192,57,-2)
(-77,193,57,-2)
(-75,194,57,-2)
(-73,195,57,-2)
(-71,196,57,-2)
(-69,197,57,-2)
(-67,198,57,-2)
(-65,199,57,-2)
(-63,200,57,-2)
(-61,201,57,-2)
(-59,202,57,-2)
(-57,203,57,-2)
(-55,204,57,-2)
(-53,205,57,-2)
(-51,206,57,-2)
(-49,207,57,-2)
(-47,208,57,-2)
(-45,209,57,-2)
(-43,210,57,-2)
(-41,211,57,-2)
(-39,212,57,-2)
(-37,213,57,-2)
(-35,214,57,-2)
(-33,215,57,-2)
(-31,216,57,-2)
(-29,217,57,-2)
(-27,218,57,-2)
(-25,219,57,-2)
(-23,220,57,-2)
(-21,221,57,-2)
(-19,222,57,-2)
(-17,223,57,-2)
(-15,224,57,-2)
(-13,225,57,-2)
(-11,226,57,-2)
(-9,227,57,-2)
(-7,228,57,-2)
(-5,229,57,-2)
(-3,230,57,-2)
(-1,231,57,-2)
(1,232,57,-2)
(3,233,57,-2)
(5,234,57,-2)
(7,235,57,-2)
(9,236,57,-2)
(11,237,57,-2)
(13,238,57,-2)
(15,239,57,-2)
(17,240,57,-2)
(19,241,57,-2)
(21,242,57,-2)
(23,243,57,-2)
(25,244,57,-2)
(26,245,56,-2)
(28,246,56,-2)
(30,247,55,-2)
(31,249,55,-2)
(33,250,55,-2)
(35,251,55,-2)
(36,252,55,-2)
(38,253,55,-2)
(40,254,55,-2)
(41,256,55,-2)
(43,257,55,-2)
(45,258,55,-2)
(46,259,55,-2)
(48,260,55,-2)
(49,261,55,-2)
(51,262,55,-2)
(53,264,55,-2)
(54,265,55,-2)
(56,266,55,-2)
(58,267,55,-2)
(59,268,55,-2)
(61,269,55,-2)
(63,271,55,-2)
(64,272,55,-2)
(66,273,55,-2)
(68,274,55,-2)
(69,275,55,-2)
(71,276,55,-2)
(73,277,55,-2)
(74,279,55,-2)
(76,280,55,-2)
(77,281,55,-2)
(79,282,55,-2)
(81,283,56,-2)
(82,284,56,-2)
(83,285,56,-2)
(85,287,56,-2)
(86,288,56,-2)
(88,289,56,-2)
(90,290,56,-2)
(91,291,56,-2)
(93,292,57,-2)
(95,293,57,-2)
(96,294,57,-2)
(98,295,57,-2)
(99,296,57,-2)
(101,297,57,-2)
(102,298,58,-2)
(104,299,58,-2)
(106,300,58,-2)
(108,301,58,-2)
(109,302,59,-2)
(111,304,59,-2)
(113,305,59,-2)
(114,306,59,-2)
(116,307,59,-2)
(118,308,60,-2)
(120,309,60,-2)
(121,310,60,-2)
(123,311,60,-2)
(125,312,60,-2)
(127,313,60,-2)
(128,314,60,-2)
(130,315,60,-2)
(132,316,61,-2)
(134,317,61,-2)
(135,318,61,-2)
(137,319,61,-2)
(139,320,61,-2)
(141,321,61,-2)
(143,322,61,-2)
(144,323,61,-2)
(146,324,61,-2)
(148,325,61,-2)
(150,326,61,-2)
(151,327,61,-2)
(153,327,61,-2)
(155,328,61,-2)
(157,329,61,-2)
(158,330,61,-2)
(160,331,61,-2)
(162,332,62,-2)
(164,333,62,-2)
(166,334,62,-2)
(167,335,62,-2)
(169,336,62,-2)
(171,337,62,-2)
(173,338,62,-2)
(174,339,61,-2)
(176,340,61,-2)
(178,341,61,-2)
(179,341,61,-2)
(181,342,61,-2)
(182,343,61,-2)
(184,344,61,-2)
(186,345,61,-2)
(188,346,61,-2)
(189,347,61,-2)
(191,348,61,-2)
(193,349,61,-2)
(195,350,61,-2)
(196,351,61,-2)
(198,352,61,-2)
(200,353,61,-2)
(202,354,61,-2)
(204,355,61,-2)
(205,356,61,-2)
(207,357,62,-2)
(209,358,62,-2)
(211,359,62,-2)
(212,360,62,-2)
(214,361,62,-2)
(216,362,63,-2)
(218,363,63,-2)
(220,364,63,-2)
(221,365,63,-2)
(223,365,63,-2)
(225,366,64,-2)
(227,367,64,-2)
(229,368,65,-2)
(230,369,65,-2)
(232,370,66,-2)
(234,371,66,-2)
(236,371,66,-2)
(238,372,67,-2)
(240,373,68,-2)
(242,374,69,-2)
(243,374,69,-2)
(245,375,70,-2)
(247,376,71,-2)
(249,376,71,-2)
(251,377,71,-2)
(252,377,71,-2)
(254,378,74,-2)
(256,378,74,-2)
(258,379,75,-2)
(260,379,75,-2)
(262,380,75,-2)
(264,381,76,-2)
(266,381,76,-2)
(268,382,76,-2)
(269,382,76,-2)
(271,382,76,-2)
(273,383,77,-2)
(275,383,77,-2)
(277,384,78,-2)
(279,384,78,-2)
(281,385,78,-2)
(283,385,78,-2)
(285,385,78,-2)
(287,386,79,-2)
(289,386,79,-2)
(291,387,79,-2)
(293,387,79,-2)
(295,387,79,-2)
(297,388,80,-2)
(299,388,80,-2)
(301,388,80,-2)
(303,389,81,-2)
(305,389,81,-2)
(307,389,81,-2)
(309,390,82,-2)
(311,390,82,-2)
(313,390,82,-2)
(315,390,82,-2)
(317,391,83,-2)
(319,391,83,-2)
(321,391,83,-2)
(323,391,83,-2)
(325,391,83,-2)
(327,392,86,-2)
(329,392,86,-2)
(331,392,86,-2)
(333,392,86,-2)
(334,392,86,-2)
(336,392,86,-2)
(338,392,86,-2)
(340,392,86,-2)
(342,393,86,-2)
(344,393,86,-2)
(346,393,86,-2)
(348,393,86,-2)
(350,393,86,-2)
(352,393,86,-2)
(354,393,86,-2)
(356,393,86,-2)
(358,394,87,-2)
(360,394,87,-2)
(362,394,87,-2)
(364,394,87,-2)
(366,394,87,-2)
(368,394,87,-2)
(370,394,87,-2)
(372,394,87,-2)
(374,394,87,-2)
(376,394,87,-2)
(378,394,87,-2)
(380,394,87,-2)
(382,394,87,-2)
(384,394,87,-2)
(386,394,87,-2)
(388,394,87,-2)
(390,394,87,-2)
(392,394,87,-2)
(394,394,87,-2)
(396,394,87,-2)
(398,394,87,-2)
(400,393,94,-2)
(402,393,94,-2)
(404,393,94,-2)
(406,393,94,-2)
(408,393,94,-2)
(410,392,97,-2)
(412,392,97,-2)
(414,392,97,-2)
(416,392,97,-2)
(418,391,101,-2)
(419,391,101,-2)
(421,391,101,-2)
(423,390,104,-2)
(425,390,104,-2)
(427,389,106,-2)
(429,388,107,-2)
(431,388,107,-2)
