0,1,3
(1362,813,215,-2)
(1359,808,215,-2)
(1356,803,215,-2)
(1353,798,215,-2)
(1350,793,215,-2)
(1347,788,215,-2)
(1344,783,215,-2)
(1341,778,215,-2)
(1338,773,215,-2)
(1335,768,215,-2)
(1332,763,215,-2)
(1329,758,215,-2)
(1326,753,215,-2)
(1323,748,215,-2)
(1320,743,215,-2)
(1317,738,215,-2)
(1314,733,215,-2)
(1311,728,215,-2)
(1308,723,215,-2)
(1305,718,215,-2)
(1302,713,215,-2)
(1299,708,215,-2)
(1296,703,215,-2)
(1293,698,215,-2)
(1290,693,215,-2)
(1287,688,215,-2)
(1284,683,215,-2)
(1281,678,215,-2)
(1278,673,215,-2)
(1275,668,215,-2)
(1272,663,215,-2)
(1269,658,215,-2)
(1266,653,215,-2)
(1263,648,215,-2)
(1260,643,215,-2)
(1256,638,215,-2)
(1253,633,216,-2)
(1249,628,216,-2)
(1246,623,216,-2)
(1242,618,216,-2)
(1238,613,216,-2)
(1235,608,217,-2)
(1231,603,217,-2)
(1227,598,217,-2)
(1223,593,217,-2)
(1220,588,217,-2)
(1216,583,218,-2)
(1212,578,218,-2)
(1210,576,218,-2)
(1206,571,218,-2)
(1203,566,217,-2)
(1199,561,217,-2)
(1195,556,217,-2)
(1191,551,218,-2)
(1188,547,218,-2)
(1184,542,218,-2)
(1180,537,219,-2)
(1176,532,220,-2)
(1172,528,220,-2)
(1168,523,222,-2)
(1164,518,223,-2)
(1160,514,223,-2)
(1158,512,226,-2)
(1154,508,227,-2)
(1149,504,228,-2)
(1145,500,229,-2)
(1140,496,229,-2)
(1135,492,230,-2)
(1131,488,231,-2)
(1126,484,232,-2)
(1121,481,232,-2)
(1117,477,233,-2)
(1112,473,234,-2)
(1107,470,235,-2)
(1102,466,236,-2)
(1097,463,236,-2)
(1096,462,238,-2)
(1094,461,239,-2)
(1093,460,239,-2)
(1091,459,240,-2)
(1089,458,240,-2)
(1087,457,241,-2)
(1086,456,241,-2)
(1084,455,241,-2)
(1082,454,242,-2)
(1080,453,242,-2)
(1079,453,242,-2)
(1077,452,243,-2)
(1075,451,243,-2)
(1073,450,243,-2)
(1071,449,243,-2)
(1070,448,243,-2)
(1068,447,244,-2)
(1066,446,244,-2)
(1064,445,244,-2)
(1062,444,244,-2)
(1061,444,244,-2)
(1059,443,244,-2)
(1057,442,244,-2)
(1055,441,245,-2)
(1053,440,245,-2)
(1052,439,245,-2)
(1050,438,245,-2)
(1048,437,245,-2)
(1046,437,245,-2)
(1044,436,245,-2)
(1042,435,245,-2)
(1041,434,245,-2)
(1039,433,245,-2)
(1037,432,245,-2)
(1035,432,245,-2)
(1033,431,245,-2)
(1031,430,246,-2)
(1030,429,246,-2)
(1028,428,246,-2)
(1026,427,246,-2)
(1025,427,246,-2)
(1023,426,246,-2)
(1021,425,245,-2)
(1020,424,245,-2)
(1018,424,245,-2)
(1016,423,245,-2)
(1014,422,245,-2)
(1012,421,246,-2)
(1010,420,246,-2)
(1009,419,246,-2)
(1007,419,246,-2)
(1005,418,246,-2)
(1003,417,246,-2)
(1001,416,246,-2)
(999,415,246,-2)
(998,415,246,-2)
(996,414,246,-2)
(994,413,246,-2)
(992,412,246,-2)
(990,411,246,-2)
(988,411,246,-2)
(986,410,247,-2)
(985,409,247,-2)
(983,408,247,-2)
(981,407,247,-2)
(979,407,247,-2)
(977,406,248,-2)
(975,405,248,-2)
(974,404,248,-2)
(972,404,248,-2)
(970,403,248,-2)
(968,402,249,-2)
(966,401,249,-2)
(964,401,249,-2)
(962,400,250,-2)
(960,399,250,-2)
(958,399,250,-2)
(957,398,251,-2)
(955,397,251,-2)
(953,397,251,-2)
(951,396,252,-2)
(949,395,253,-2)
(948,395,253,-2)
(946,395,253,-2)
(944,394,256,-2)
(942,394,256,-2)
(940,393,257,-2)
(938,393,257,-2)
(936,392,258,-2)
(934,392,258,-2)
(932,391,258,-2)
(930,391,258,-2)
(928,391,258,-2)
(926,390,259,-2)
(925,390,259,-2)
(923,389,259,-2)
(921,389,259,-2)
(919,389,259,-2)
(917,388,260,-2)
(915,388,260,-2)
(913,388,260,-2)
(911,387,261,-2)
(909,387,261,-2)
(907,387,261,-2)
(905,386,261,-2)
(903,386,261,-2)
(901,386,261,-2)
(899,386,261,-2)
(897,385,262,-2)
(895,385,262,-2)
(893,385,262,-2)
(891,384,263,-2)
(889,384,263,-2)
(887,384,263,-2)
(885,384,263,-2)
(883,384,263,-2)
(881,383,264,-2)
(879,383,264,-2)
(877,383,264,-2)
(875,383,264,-2)
(873,382,265,-2)
(871,382,265,-2)
(869,382,265,-2)
(868,382,265,-2)
(866,382,265,-2)
(864,382,265,-2)
(862,382,265,-2)
(860,382,265,-2)
(858,382,265,-2)
(856,382,265,-2)
(854,382,265,-2)
(852,381,269,-2)
(850,381,269,-2)
(848,381,269,-2)
(846,381,269,-2)
(844,381,269,-2)
(842,381,269,-2)
(840,381,269,-2)
(838,381,269,-2)
(836,381,269,-2)
(834,381,269,-2)
(832,381,269,-2)
(830,381,269,-2)
(828,381,269,-2)
(826,381,269,-2)
(824,381,269,-2)
(822,381,269,-2)
(820,381,269,-2)
(818,381,269,-2)
(816,381,269,-2)
(814,381,269,-2)
(812,381,269,-2)
(810,381,269,-2)
(808,381,269,-2)
(806,381,269,-2)
(804,381,269,-2)
(802,381,269,-2)
(800,381,269,-2)
(798,381,269,-2)
(796,381,269,-2)
(794,381,269,-2)
(792,381,269,-2)
(790,381,269,-2)
(788,381,269,-2)
(786,381,269,-2)
(785,381,269,-2)
(783,381,269,-2)
(781,381,269,-2)
(779,381,269,-2)
(777,381,269,-2)
(775,381,269,-2)
(773,381,269,-2)
(771,381,269,-2)
(769,381,269,-2)
(767,381,269,-2)
(765,382,273,-2)
(763,382,273,-2)
(761,382,273,-2)
(759,382,273,-2)
(757,382,273,-2)
(755,382,273,-2)
(753,382,273,-2)
(751,382,273,-2)
(749,382,273,-2)
(747,383,274,-2)
(745,383,274,-2)
(743,383,274,-2)
(741,383,274,-2)
(739,383,274,-2)
(737,383,274,-2)
(735,383,274,-2)
(733,383,274,-2)
(731,384,274,-2)
(729,384,274,-2)
(727,384,274,-2)
(725,384,274,-2)
(723,384,274,-2)
(721,384,274,-2)
(719,384,274,-2)
(717,384,274,-2)
(715,385,273,-2)
(713,385,273,-2)
(711,385,273,-2)
(709,385,273,-2)
(707,385,273,-2)
(706,385,273,-2)
(704,385,273,-2)
(702,385,273,-2)
(700,385,273,-2)
(698,385,273,-2)
(696,386,274,-2)
(694,386,274,-2)
(692,386,274,-2)
(690,386,274,-2)
(688,386,274,-2)
(686,386,274,-2)
(684,386,274,-2)
(682,386,274,-2)
(680,387,274,-2)
(678,387,274,-2)
(676,387,274,-2)
(674,387,274,-2)
(672,387,274,-2)
(670,387,274,-2)
(668,388,274,-2)
(666,388,274,-2)
(664,388,274,-2)
(662,388,274,-2)
(660,388,274,-2)
(658,388,274,-2)
(656,388,274,-2)
(654,388,274,-2)
(652,389,273,-2)
(650,389,273,-2)
(648,389,273,-2)
(646,389,273,-2)
(644,389,273,-2)
(642,389,273,-2)
(640,389,273,-2)
(638,389,273,-2)
(636,389,273,-2)
(634,389,273,-2)
(632,389,273,-2)
(630,389,273,-2)
(628,389,273,-2)
(626,389,273,-2)
(624,389,273,-2)
(622,389,273,-2)
(621,389,273,-2)
(619,389,273,-2)
(617,389,273,-2)
(615,389,273,-2)
(613,389,273,-2)
(611,389,273,-2)
(609,389,273,-2)
(607,389,273,-2)
(605,389,273,-2)
(603,388,267,-2)
(601,388,267,-2)
(599,388,267,-2)
(597,388,267,-2)
(595,388,267,-2)
(593,388,267,-2)
(591,388,267,-2)
(589,388,267,-2)
(587,387,265,-2)
(585,387,265,-2)
(583,387,265,-2)
(581,387,265,-2)
(579,387,265,-2)
(577,386,264,-2)
(575,386,264,-2)
(573,386,264,-2)
(571,386,264,-2)
(569,385,262,-2)
(567,385,262,-2)
(565,385,262,-2)
(563,385,262,-2)
(561,384,261,-2)
(559,384,261,-2)
(557,384,261,-2)
(555,383,260,-2)
(553,383,260,-2)
(551,382,259,-2)
(549,382,259,-2)
(547,382,259,-2)
(545,381,257,-2)
(543,381,257,-2)
(541,380,256,-2)
(540,380,256,-2)
(538,379,254,-2)
(536,379,254,-2)
(534,378,252,-2)
(532,378,252,-2)
(530,377,250,-2)
(529,376,250,-2)
(527,376,250,-2)
(525,375,248,-2)
(523,374,248,-2)
(521,373,247,-2)
(519,373,247,-2)
(517,372,246,-2)
(516,371,246,-2)
(514,370,245,-2)
(512,369,245,-2)
(510,368,245,-2)
(508,368,245,-2)
(507,367,244,-2)
(505,366,244,-2)
(503,365,243,-2)
(501,364,243,-2)
