0,1,3
(1416,872,197,-2)
(1412,859,197,-2)
(1408,846,197,-2)
(1404,833,197,-2)
(1400,820,197,-2)
(1396,807,197,-2)
(1392,794,197,-2)
(1388,781,197,-2)
(1384,768,197,-2)
(1380,755,197,-2)
(1376,742,197,-2)
(1372,729,197,-2)
(1368,716,197,-2)
(1364,703,197,-2)
(1360,690,197,-2)
(1356,677,197,-2)
(1352,663,197,-2)
(1348,649,197,-2)
(1343,635,198,-2)
(1338,621,199,-2)
(1334,607,200,-2)
(1331,600,199,-2)
(1326,586,200,-2)
(1321,573,201,-2)
(1316,560,202,-2)
(1310,546,203,-2)
(1304,533,205,-2)
(1298,520,205,-2)
(1295,514,206,-2)
(1288,501,208,-2)
(1281,488,209,-2)
(1274,476,210,-2)
(1267,463,211,-2)
(1260,451,212,-2)
(1252,439,212,-2)
(1248,433,212,-2)
(1240,421,212,-2)
(1233,408,213,-2)
(1225,396,215,-2)
(1216,385,217,-2)
(1207,373,221,-2)
(1202,368,222,-2)
(1192,357,224,-2)
(1182,347,226,-2)
(1172,337,227,-2)
(1161,328,229,-2)
(1150,318,232,-2)
(1138,310,235,-2)
(1126,302,235,-2)
(1120,299,244,-2)
(1106,293,247,-2)
(1093,287,250,-2)
(1079,283,253,-2)
(1065,279,257,-2)
(1050,276,262,-2)
(1036,275,262,-2)
(1029,275,262,-2)
(1014,276,278,-2)
(1000,279,281,-2)
(986,282,282,-2)
(972,285,283,-2)
(958,288,283,-2)
(944,291,282,-2)
(930,294,282,-2)
(929,294,282,-2)
(927,295,281,-2)
(925,295,281,-2)
(923,295,281,-2)
(921,296,281,-2)
(919,296,281,-2)
(917,296,281,-2)
(915,297,281,-2)
(913,297,281,-2)
(911,298,281,-2)
(909,298,281,-2)
(907,298,281,-2)
(905,299,281,-2)
(903,299,281,-2)
(901,299,281,-2)
(899,300,281,-2)
(897,300,281,-2)
(895,301,281,-2)
(893,301,281,-2)
(891,301,281,-2)
(890,302,280,-2)
(888,302,280,-2)
(886,302,280,-2)
(884,303,280,-2)
(882,303,280,-2)
(880,303,280,-2)
(878,304,280,-2)
(876,304,280,-2)
(874,305,280,-2)
(872,305,280,-2)
(870,305,280,-2)
(868,306,280,-2)
(866,306,280,-2)
(864,306,280,-2)
(862,307,279,-2)
(860,307,279,-2)
(858,307,279,-2)
(856,308,279,-2)
(854,308,279,-2)
(852,308,279,-2)
(850,308,279,-2)
(848,309,279,-2)
(846,309,279,-2)
(844,309,279,-2)
(842,310,278,-2)
(840,310,278,-2)
(838,310,278,-2)
(836,311,278,-2)
(834,311,278,-2)
(832,311,278,-2)
(830,311,278,-2)
(828,312,277,-2)
(826,312,277,-2)
(824,312,277,-2)
(823,312,277,-2)
(821,312,277,-2)
(819,313,278,-2)
(817,313,278,-2)
(815,313,278,-2)
(813,314,278,-2)
(811,314,278,-2)
(809,314,278,-2)
(807,314,278,-2)
(805,315,278,-2)
(803,315,278,-2)
(801,315,278,-2)
(799,316,278,-2)
(797,316,278,-2)
(795,316,278,-2)
(793,316,278,-2)
(791,317,277,-2)
(789,317,277,-2)
(787,317,277,-2)
(785,317,277,-2)
(783,317,277,-2)
(781,318,276,-2)
(779,318,276,-2)
(777,318,276,-2)
(775,318,276,-2)
(773,318,276,-2)
(771,319,275,-2)
(769,319,275,-2)
(767,319,275,-2)
(765,319,275,-2)
(763,319,275,-2)
(761,319,275,-2)
(759,320,273,-2)
(757,320,273,-2)
(755,320,273,-2)
(753,320,273,-2)
(751,320,273,-2)
(749,320,273,-2)
(747,320,273,-2)
(745,320,273,-2)
(744,320,273,-2)
(742,320,273,-2)
(740,320,273,-2)
(738,320,273,-2)
(736,320,273,-2)
(734,320,273,-2)
(732,320,273,-2)
(730,320,273,-2)
(728,320,273,-2)
(726,320,273,-2)
(724,321,272,-2)
(722,321,272,-2)
(720,321,272,-2)
(718,321,272,-2)
(716,321,272,-2)
(714,321,272,-2)
(712,321,272,-2)
(710,321,272,-2)
(708,321,272,-2)
(706,321,272,-2)
(704,321,272,-2)
(702,321,272,-2)
(700,321,272,-2)
(698,321,272,-2)
(696,321,272,-2)
(694,321,272,-2)
(692,321,272,-2)
(690,321,272,-2)
(688,320,266,-2)
(686,320,266,-2)
(684,320,266,-2)
(682,320,266,-2)
(680,320,266,-2)
(678,319,261,-2)
(676,319,261,-2)
(674,319,261,-2)
(672,318,257,-2)
(670,318,257,-2)
(668,317,254,-2)
(666,317,254,-2)
(664,316,254,-2)
(663,316,254,-2)
(661,315,248,-2)
(659,314,246,-2)
(657,313,245,-2)
(656,312,243,-2)
(654,312,243,-2)
(652,311,241,-2)
(650,310,239,-2)
(649,308,238,-2)
(647,307,238,-2)
(645,306,237,-2)
(644,305,236,-2)
(642,304,235,-2)
(640,303,234,-2)
(639,302,234,-2)
(637,301,233,-2)
(635,299,233,-2)
(634,298,232,-2)
(632,297,232,-2)
(631,296,231,-2)
(629,294,231,-2)
(628,293,230,-2)
(626,292,230,-2)
(624,290,229,-2)
(623,289,229,-2)
(621,288,229,-2)
(620,286,228,-2)
(618,285,228,-2)
(617,284,227,-2)
(615,282,227,-2)
(614,281,227,-2)
(613,280,226,-2)
(611,278,226,-2)
(610,277,226,-2)
(608,275,225,-2)
(607,274,225,-2)
(605,273,225,-2)
(604,271,224,-2)
(602,270,224,-2)
(601,268,224,-2)
(600,267,223,-2)
(599,266,223,-2)
(598,265,222,-2)
(596,263,220,-2)
(595,261,219,-2)
(594,260,218,-2)
(593,258,217,-2)
(591,257,216,-2)
(590,255,215,-2)
(589,253,215,-2)
(588,252,214,-2)
(587,250,214,-2)
(586,248,213,-2)
(585,247,213,-2)
(583,245,213,-2)
(582,243,212,-2)
(581,241,212,-2)
(580,240,212,-2)
(579,238,212,-2)
(578,236,212,-2)
(577,235,212,-2)
(576,233,212,-2)
(575,231,212,-2)
(574,229,212,-2)
(573,228,213,-2)
(572,226,213,-2)
(571,224,213,-2)
(569,223,213,-2)
(568,221,214,-2)
(567,219,214,-2)
(566,218,215,-2)
(565,216,216,-2)
(564,214,216,-2)
(562,213,217,-2)
(561,211,218,-2)
(560,210,219,-2)
(559,208,220,-2)
(557,206,221,-2)
(556,205,222,-2)
(555,204,224,-2)
(553,202,226,-2)
(552,201,227,-2)
(551,200,227,-2)
(550,199,228,-2)
(548,197,228,-2)
(547,196,229,-2)
(545,195,230,-2)
(543,193,230,-2)
(542,192,231,-2)
(540,191,231,-2)
(539,190,232,-2)
(537,188,232,-2)
(536,187,233,-2)
(534,186,233,-2)
(532,185,233,-2)
(531,183,234,-2)
(529,182,234,-2)
(527,181,235,-2)
(526,180,235,-2)
(524,179,235,-2)
(522,178,236,-2)
(521,176,236,-2)
(519,175,237,-2)
(517,174,237,-2)
(516,173,237,-2)
(514,172,238,-2)
(512,171,238,-2)
(511,170,238,-2)
(509,169,239,-2)
(507,168,239,-2)
(505,167,240,-2)
(504,166,240,-2)
(502,165,241,-2)
(500,164,241,-2)
(498,163,242,-2)
(497,162,242,-2)
(495,161,243,-2)
(493,160,243,-2)
(491,159,244,-2)
(489,158,245,-2)
(488,157,245,-2)
(486,157,245,-2)
(484,156,247,-2)
(482,155,247,-2)
(481,155,247,-2)
(479,154,249,-2)
(477,153,250,-2)
(475,153,250,-2)
(474,152,252,-2)
(472,151,252,-2)
(470,151,252,-2)
(468,150,254,-2)
(466,150,254,-2)
(464,149,255,-2)
(462,149,255,-2)
(460,148,256,-2)
(458,148,256,-2)
(456,147,257,-2)
(454,147,257,-2)
(452,146,257,-2)
(450,146,257,-2)
(448,145,258,-2)
(446,145,258,-2)
(444,144,259,-2)
(443,144,259,-2)
(441,144,259,-2)
(439,143,260,-2)
(437,143,260,-2)
(435,143,260,-2)
(433,142,260,-2)
(431,142,260,-2)
(429,142,260,-2)
(427,141,261,-2)
(425,141,261,-2)
(423,141,261,-2)
(421,140,262,-2)
(419,140,262,-2)
(417,140,262,-2)
(415,140,262,-2)
(413,139,262,-2)
(411,139,262,-2)
(409,139,262,-2)
(407,139,262,-2)
(405,138,263,-2)
(403,138,263,-2)
(402,138,263,-2)
(400,138,263,-2)
(398,137,264,-2)
(396,137,264,-2)
(394,137,264,-2)
(392,137,264,-2)
(390,137,264,-2)
(388,136,265,-2)
(386,136,265,-2)
(384,136,265,-2)
(382,136,265,-2)
(380,136,265,-2)
(378,136,265,-2)
(376,135,266,-2)
(374,135,266,-2)
(372,135,266,-2)
(370,135,266,-2)
(368,135,266,-2)
(366,135,266,-2)
(364,135,266,-2)
(362,135,266,-2)
(360,135,266,-2)
(358,134,268,-2)
(356,134,268,-2)
(354,134,268,-2)
(352,134,268,-2)
(350,134,268,-2)
(348,134,268,-2)
(346,134,268,-2)
(344,134,268,-2)
(342,134,268,-2)
(340,134,268,-2)
(338,134,268,-2)
(336,134,268,-2)
(334,134,268,-2)
(332,134,268,-2)
(330,134,268,-2)
(328,135,273,-2)
(326,135,273,-2)
(324,135,273,-2)
(322,135,273,-2)
(320,135,273,-2)
(316,136,277,-2)
(312,136,277,-2)
(308,137,278,-2)
(304,137,278,-2)
(300,138,280,-2)
(296,139,281,-2)
(292,139,281,-2)
(288,140,282,-2)
(284,141,282,-2)
(280,142,283,-2)
(276,143,284,-2)
(273,144,284,-2)
(269,145,285,-2)
(265,146,286,-2)
(261,147,286,-2)
(257,148,287,-2)
(253,149,288,-2)
(249,151,289,-2)
(246,152,290,-2)
(242,153,291,-2)
(240,154,291,-2)
(236,156,292,-2)
(232,157,293,-2)
(229,159,294,-2)
(225,160,295,-2)
(221,162,295,-2)
(218,164,296,-2)
(214,166,297,-2)
(210,168,297,-2)
(207,169,298,-2)
(203,171,299,-2)
(200,173,299,-2)
(196,175,300,-2)
(193,177,301,-2)
(189,180,302,-2)
(186,182,303,-2)
(182,184,303,-2)
(179,186,304,-2)
(176,189,306,-2)
(172,191,307,-2)
(169,193,308,-2)
(166,196,308,-2)
(165,197,313,-2)
(162,200,314,-2)
(159,203,316,-2)
(156,206,317,-2)
(153,209,318,-2)
(151,212,319,-2)
(148,215,320,-2)
(145,218,321,-2)
(143,221,321,-2)
(140,224,322,-2)
(138,228,323,-2)
(135,231,323,-2)
(133,234,324,-2)
(131,237,324,-2)
(128,241,325,-2)
(126,244,326,-2)
(124,247,326,-2)
(121,251,327,-2)
(119,254,328,-2)
(117,258,328,-2)
(115,261,329,-2)
(113,264,330,-2)
(111,268,330,-2)
(110,270,334,-2)
(108,274,335,-2)
(107,277,336,-2)
(105,281,337,-2)
(104,285,338,-2)
(102,289,339,-2)
(101,292,340,-2)
(99,296,341,-2)
(98,300,341,-2)
(97,304,342,-2)
(95,308,343,-2)
(94,312,344,-2)
(93,316,345,-2)
(92,320,346,-2)
(91,324,347,-2)
(90,328,348,-2)
(89,332,349,-2)
(89,336,349,-2)
(88,340,352,-2)
(87,344,353,-2)
(87,348,353,-2)
(87,350,353,-2)
(87,354,353,-2)
(86,358,357,-2)
(86,362,357,-2)
(86,366,357,-2)
(86,370,357,-2)
(86,374,357,-2)
(86,378,357,-2)
(86,382,357,-2)
(86,386,357,-2)
(87,390,4,-2)
(87,394,4,-2)
(87,398,4,-2)
(88,402,8,-2)
(88,406,8,-2)
(89,410,11,-2)
(90,414,13,-2)
(91,418,16,-2)
(92,422,18,-2)
(93,425,22,-2)
(95,429,22,-2)
(96,431,29,-2)
(98,434,33,-2)
(100,438,37,-2)
(103,441,40,-2)
(106,444,42,-2)
(108,447,44,-2)
(111,450,46,-2)
(114,452,47,-2)
(117,455,48,-2)
(120,458,50,-2)
(123,460,51,-2)
(126,463,51,-2)
(130,465,52,-2)
(133,468,53,-2)
(136,470,54,-2)
(139,473,54,-2)
(143,475,55,-2)
(146,477,56,-2)
(149,480,56,-2)
(153,482,57,-2)
(156,484,57,-2)
(158,485,58,-2)
(161,487,59,-2)
(165,489,59,-2)
(168,491,59,-2)
(172,494,60,-2)
(175,496,60,-2)
(179,498,61,-2)
(182,500,61,-2)
(186,501,62,-2)
(190,503,63,-2)
(193,505,64,-2)
(197,507,65,-2)
(201,509,66,-2)
(204,510,68,-2)
(208,512,69,-2)
(212,513,71,-2)
(216,514,74,-2)
(220,515,76,-2)
(224,516,80,-2)
(228,517,84,-2)
(232,517,84,-2)
(234,517,84,-2)
(238,517,84,-2)
(242,516,100,-2)
(246,515,102,-2)
(250,514,104,-2)
(254,513,106,-2)
(258,512,108,-2)
(262,511,109,-2)
(265,509,111,-2)
(269,508,112,-2)
(273,506,113,-2)
(277,505,115,-2)
(280,503,116,-2)
(284,501,117,-2)
(288,499,119,-2)
(291,497,121,-2)
(295,495,122,-2)
(298,493,124,-2)
(301,491,127,-2)
(304,488,129,-2)
(308,485,133,-2)
(309,484,135,-2)
(312,481,139,-2)
(314,478,143,-2)
(317,475,145,-2)
(319,471,148,-2)
(321,468,150,-2)
(323,464,152,-2)
(325,461,154,-2)
(327,457,155,-2)
(328,453,157,-2)
(330,449,158,-2)
(331,446,160,-2)
(333,442,161,-2)
(334,438,163,-2)
(335,434,165,-2)
(336,430,166,-2)
(337,426,168,-2)
(338,422,170,-2)
(338,418,170,-2)
(339,414,175,-2)
(339,410,175,-2)
(339,408,175,-2)
(338,400,190,-2)
(336,392,196,-2)
(334,384,200,-2)
(331,377,202,-2)
(328,369,203,-2)
(325,362,203,-2)
(322,355,203,-2)
(319,347,202,-2)
(316,340,199,-2)
(313,332,196,-2)
(311,324,189,-2)
(311,320,189,-2)
(310,312,183,-2)
