0,1,3
(-370,496,90,-2)
(-360,496,90,-2)
(-350,496,90,-2)
(-340,496,90,-2)
(-330,496,90,-2)
(-320,496,90,-2)
(-310,496,90,-2)
(-300,496,90,-2)
(-290,496,90,-2)
(-280,496,90,-2)
(-270,496,90,-2)
(-260,496,90,-2)
(-250,496,90,-2)
(-240,496,90,-2)
(-230,496,90,-2)
(-220,496,90,-2)
(-210,496,90,-2)
(-200,496,90,-2)
(-190,496,90,-2)
(-180,496,90,-2)
(-170,496,90,-2)
(-160,496,90,-2)
(-150,496,90,-2)
(-139,495,94,-2)
(-129,494,95,-2)
(-118,493,96,-2)
(-108,492,96,-2)
(-98,491,97,-2)
(-87,490,98,-2)
(-77,488,98,-2)
(-72,487,100,-2)
(-62,485,101,-2)
(-52,483,102,-2)
(-42,481,103,-2)
(-33,479,104,-2)
(-23,476,106,-2)
(-13,473,108,-2)
(-4,470,111,-2)
(0,468,110,-2)
(9,464,113,-2)
(19,460,115,-2)
(28,456,116,-2)
(37,451,118,-2)
(45,447,119,-2)
(54,442,120,-2)
(63,436,122,-2)
(71,431,122,-2)
(75,428,126,-2)
(83,422,129,-2)
(91,415,131,-2)
(99,408,133,-2)
(106,401,134,-2)
(113,394,135,-2)
(120,387,136,-2)
(127,380,136,-2)
(131,376,137,-2)
(138,368,140,-2)
(144,361,141,-2)
(150,353,142,-2)
(157,345,141,-2)
(163,337,140,-2)
(170,329,138,-2)
(177,322,135,-2)
(184,315,135,-2)
(188,312,129,-2)
(196,305,128,-2)
(204,299,127,-2)
(212,293,125,-2)
(221,288,122,-2)
(229,282,119,-2)
(239,278,114,-2)
(248,274,106,-2)
(253,273,98,-2)
(255,273,98,-2)
(257,273,98,-2)
(259,273,98,-2)
(261,273,98,-2)
(263,273,98,-2)
(265,273,98,-2)
(267,273,98,-2)
(269,273,98,-2)
(271,273,98,-2)
(273,273,98,-2)
(275,274,82,-2)
(277,274,82,-2)
(279,274,82,-2)
(281,275,79,-2)
(283,275,79,-2)
(285,276,78,-2)
(287,276,78,-2)
(289,276,78,-2)
(291,277,76,-2)
(293,277,76,-2)
(295,278,76,-2)
(297,278,76,-2)
(299,279,75,-2)
(301,279,75,-2)
(302,280,74,-2)
(304,280,74,-2)
(306,281,73,-2)
(308,282,73,-2)
(310,282,73,-2)
(312,283,72,-2)
(314,283,72,-2)
(316,284,72,-2)
(318,285,72,-2)
(320,285,72,-2)
(322,286,71,-2)
(324,287,71,-2)
(325,287,71,-2)
(327,288,71,-2)
(329,289,70,-2)
(331,289,70,-2)
(333,290,70,-2)
(334,290,70,-2)
(336,291,69,-2)
(338,292,68,-2)
(340,293,67,-2)
(341,293,67,-2)
(343,294,66,-2)
(345,295,66,-2)
(347,296,65,-2)
(349,297,65,-2)
(350,298,64,-2)
(352,298,64,-2)
(354,299,63,-2)
(356,300,63,-2)
(358,301,63,-2)
(359,302,62,-2)
(361,303,62,-2)
(363,304,62,-2)
(365,305,61,-2)
(366,306,61,-2)
(368,307,61,-2)
(370,308,61,-2)
(372,309,60,-2)
(373,310,60,-2)
(375,311,60,-2)
(377,312,60,-2)
(379,313,59,-2)
(380,314,59,-2)
(382,315,59,-2)
(384,316,59,-2)
(386,317,58,-2)
(387,318,58,-2)
(389,319,58,-2)
(391,320,58,-2)
(392,321,57,-2)
(394,322,57,-2)
(396,323,57,-2)
(397,325,57,-2)
(399,326,56,-2)
(401,327,56,-2)
(402,328,56,-2)
(404,329,56,-2)
(405,330,53,-2)
(406,331,51,-2)
(408,332,50,-2)
(409,333,49,-2)
(411,335,48,-2)
(412,336,47,-2)
(414,337,46,-2)
(415,339,46,-2)
(417,340,45,-2)
(418,342,45,-2)
(420,343,44,-2)
(421,345,44,-2)
(422,346,44,-2)
(424,347,44,-2)
(425,349,43,-2)
(426,350,43,-2)
(428,352,43,-2)
(429,353,43,-2)
(431,355,43,-2)
(432,356,43,-2)
(433,358,44,-2)
(435,359,44,-2)
(436,360,44,-2)
(438,362,44,-2)
(439,363,45,-2)
(440,365,45,-2)
(442,366,46,-2)
(443,368,46,-2)
(445,369,47,-2)
(446,370,48,-2)
(448,372,49,-2)
(449,373,50,-2)
(451,374,51,-2)
(452,375,52,-2)
(454,377,53,-2)
(455,378,54,-2)
(457,379,56,-2)
(459,380,58,-2)
(460,381,60,-2)
(462,382,62,-2)
(464,383,62,-2)
(465,383,62,-2)
(467,384,68,-2)
(469,385,69,-2)
(471,386,70,-2)
(472,386,70,-2)
(474,387,72,-2)
(476,388,72,-2)
(478,388,72,-2)
(480,389,74,-2)
(482,389,74,-2)
(484,390,75,-2)
(486,390,75,-2)
(488,391,76,-2)
(490,391,76,-2)
(492,392,77,-2)
(494,392,77,-2)
(496,393,78,-2)
(498,393,78,-2)
(500,393,78,-2)
(502,394,80,-2)
(504,394,80,-2)
(506,395,80,-2)
(508,395,80,-2)
(510,395,80,-2)
(512,395,80,-2)
(514,396,82,-2)
(516,396,82,-2)
(518,396,82,-2)
(520,397,83,-2)
(522,397,83,-2)
(524,397,83,-2)
(526,397,83,-2)
(528,397,83,-2)
(530,398,86,-2)
(532,398,86,-2)
(534,398,86,-2)
(536,398,86,-2)
(538,398,86,-2)
(540,398,86,-2)
(542,398,86,-2)
(544,398,86,-2)
(546,398,86,-2)
(548,398,86,-2)
(550,398,86,-2)
(551,398,86,-2)
(553,398,86,-2)
(555,398,86,-2)
(557,397,98,-2)
(559,397,98,-2)
(561,397,98,-2)
(563,396,102,-2)
(565,396,102,-2)
(567,395,105,-2)
(569,395,105,-2)
(571,394,106,-2)
(573,394,106,-2)
(575,393,108,-2)
(577,392,109,-2)
(578,392,109,-2)
(580,391,110,-2)
(582,390,111,-2)
(584,390,111,-2)
(586,389,112,-2)
(588,388,113,-2)
(590,387,113,-2)
(592,386,113,-2)
(593,386,113,-2)
(595,385,114,-2)
(597,384,115,-2)
(599,383,115,-2)
(601,382,115,-2)
(603,381,116,-2)
(604,381,116,-2)
(606,380,116,-2)
(608,379,117,-2)
(610,378,117,-2)
(612,377,117,-2)
(613,376,117,-2)
(615,375,117,-2)
(617,374,117,-2)
(619,373,118,-2)
(621,372,118,-2)
(622,371,118,-2)
(624,370,118,-2)
(625,370,118,-2)
(627,369,116,-2)
(629,368,116,-2)
(630,367,117,-2)
(632,366,117,-2)
(634,366,117,-2)
(636,365,118,-2)
(638,364,118,-2)
(639,363,119,-2)
(641,362,119,-2)
(643,361,119,-2)
(645,360,120,-2)
(646,359,120,-2)
(648,358,120,-2)
(650,357,120,-2)
(652,356,121,-2)
(653,355,121,-2)
(655,354,121,-2)
(657,353,122,-2)
(658,352,122,-2)
(660,350,122,-2)
(662,349,123,-2)
(663,348,123,-2)
(665,347,124,-2)
(667,346,124,-2)
(668,345,124,-2)
(670,344,125,-2)
(672,343,125,-2)
(673,341,126,-2)
(675,340,126,-2)
(677,339,127,-2)
(678,338,127,-2)
(680,337,128,-2)
(681,335,129,-2)
(683,334,129,-2)
(684,333,130,-2)
(686,332,131,-2)
(688,330,132,-2)
(689,329,133,-2)
(690,328,134,-2)
(692,326,135,-2)
(693,325,136,-2)
(694,324,133,-2)
(695,323,135,-2)
(697,321,137,-2)
(698,320,139,-2)
(700,318,140,-2)
(701,316,142,-2)
(702,315,143,-2)
(703,313,144,-2)
(704,312,145,-2)
(706,310,146,-2)
(707,308,147,-2)
(708,307,147,-2)
(709,305,148,-2)
(710,303,148,-2)
(711,301,149,-2)
(712,300,149,-2)
(713,298,150,-2)
(714,296,150,-2)
(715,294,150,-2)
(716,293,150,-2)
(717,291,150,-2)
(718,289,150,-2)
(719,287,150,-2)
