(13,119,10004,0,0,0,0,0,0)
(13,127,10018,0,0,0,0,0,0)
(9,305,52059,0,0,0,0,0,0)
(100,330,1101,302,0,0,0,0,0)
(15,330,10011,0,0,0,0,0,0)
(12,389,52001,0,0,0,0,0,0)
(100,531,2005,202,0,0,0,0,0)
(14,531,52024,0,0,0,0,0,0)
(9,635,50006,0,0,0,0,0,0)
(10,667,52060,0,0,0,0,0,0)
(11,671,10015,0,0,0,0,0,0)
(4,717,52020,0,0,0,0,0,0)
(4,725,10006,0,0,0,0,0,0)
(12,768,52037,0,0,0,0,0,0)
(19,847,10020,0,0,0,0,0,0)
(12,866,52054,0,0,0,0,0,0)
(8,867,10016,0,0,0,0,0,0)
(9,897,10007,0,0,0,0,0,0)
(10,977,10002,0,0,0,0,0,0)
(9,1101,52024,0,0,0,0,0,0)
(5,1199,10019,0,0,0,0,0,0)
(7,1246,52001,0,0,0,0,0,0)
(100,1255,1101,302,0,0,0,0,0)
(11,1255,10017,0,0,0,0,0,0)
(14,1286,50022,0,0,0,0,0,0)
(15,1318,52056,0,0,0,0,0,0)
(16,1390,10003,0,0,0,0,0,0)
(15,1405,10011,0,0,0,0,0,0)
(100,1423,2005,202,0,0,0,0,0)
(14,1423,51000,0,0,0,0,0,0)
(4,1571,10002,0,0,0,0,0,0)
(8,1767,51000,0,0,0,0,0,0)
(7,1804,10014,0,0,0,0,0,0)
(8,1960,50001,0,0,0,0,0,0)
(10,1966,52024,0,0,0,0,0,0)
(7,1969,50006,0,0,0,0,0,0)
(11,2025,10016,0,0,0,0,0,0)
(12,2103,52009,0,0,0,0,0,0)
(13,2138,52054,0,0,0,0,0,0)
(100,2180,1101,302,0,0,0,0,0)
(9,2180,50001,0,0,0,0,0,0)
(100,2270,1062,1402,0,0,0,0,0)
(10,2270,10006,0,0,0,0,0,0)
(100,2341,4042,102,0,0,0,0,0)
(14,2341,50028,0,0,0,0,0,0)
(5,2387,52056,0,0,0,0,0,0)
(9,2419,10018,0,0,0,0,0,0)
(16,2443,50017,0,0,0,0,0,0)
(4,2476,51000,0,0,0,0,0,0)
(10,2664,20000,0,0,0,0,0,0)
(16,2739,10018,0,0,0,0,0,0)
(13,2815,10019,0,0,0,0,0,0)
(5,2825,10001,0,0,0,0,0,0)
(7,2839,10013,0,0,0,0,0,0)
(7,2925,52042,0,0,0,0,0,0)
(14,3008,50028,0,0,0,0,0,0)
(9,3059,52001,0,0,0,0,0,0)
(100,3101,1101,302,0,0,0,0,0)
(12,3101,50001,0,0,0,0,0,0)
(100,3189,2005,202,0,0,0,0,0)
(7,3189,10020,0,0,0,0,0,0)
(10,3267,50006,0,0,0,0,0,0)
(8,3324,10001,0,0,0,0,0,0)
